nombre_buscado,tier_sala,nivel,target,sp_num_albums,sp_num_singles,sp_num_eps,sp_num_total_releases,sp_anos_activo,sp_releases_por_ano,sp_dias_desde_ultimo_release,sp_ratio_albums_singles,sp_avg_duration_ms,sp_pct_explicit,sp_pct_colabs,lfm_oyentes,lfm_oyentes_log,lfm_scrobbles,lfm_scrobbles_log,lfm_scrobbles_por_oyente,lfm_num_generos,yt_suscriptores,yt_suscriptores_log,yt_vistas_totales,yt_vistas_log,yt_num_videos,yt_vistas_por_video,yt_vistas_por_suscriptor,yt_edad_canal_anos,sl_avg_canciones,sl_pct_encore,sl_num_paises,sl_num_conciertos,sl_pct_espana,trend_gtrends_interes_medio,trend_gtrends_log,trend_yt_vistas_recientes,trend_yt_vistas_recientes_log,trend_yt_videos_recientes,trend_yt_vistas_por_video_reciente
Yeidos,1,bajo,1,2,8,0,10,3.0,3.33,76.0,0.2222222222222222,139683.66666666666,0.0,0.8333333333333334,3678.0,8.210396255104774,28088.0,10.243133319606999,7.636759108210984,0,2300.0,7.741099090035366,219964.0,12.301223721769107,34.0,6469.529411764706,95.63652173913043,10.255989048596852,,,,,,1.89,1.0612565021243408,5100.0,8.537191877922927,5.0,1020.0
superreservao,1,bajo,1,2,11,0,13,4.0,3.25,73.0,0.16666666666666666,148089.66666666666,0.7777777777777778,0.6666666666666666,7818.0,8.964311948124514,441900.0,12.998841154071691,56.52340752110514,0,4210.0,8.345455428161928,902669.0,13.713112317101562,31.0,29118.354838709678,214.41068883610453,4.9664613278576315,0.0,0.0,1.0,2.0,1.0,2.6,1.2809338454620642,32064.0,10.375520371582963,5.0,6412.8
UGLY,1,bajo,1,1,3,0,4,1.0,4.0,39.0,0.25,159214.0,0.3333333333333333,0.6666666666666666,24300.0,10.098272780745283,660600.0,13.400905305713037,27.185185185185187,5,2990.0,8.003363058629947,160449.0,11.985737646538002,9.0,17827.666666666668,53.661872909699,10.302532511978097,,,,,,45.7,3.8437441646748516,76539.0,11.245568758979694,5.0,15307.8
RALY,1,bajo,1,2,9,0,11,3.0,3.67,80.0,0.2,182382.9,1.0,0.4,7904.0,8.975250749643573,251513.0,12.435253932976613,31.820976720647774,0,3410.0,8.134760782418645,526144.0,13.173332119130361,11.0,47831.27272727273,154.29442815249266,6.242299794661191,0.0,0.0,1.0,1.0,1.0,39.96,3.7125959807312525,136592.0,11.824760980296265,5.0,27318.4
Ébano,2,medio,2,1,3,0,4,9.0,0.44,854.0,0.25,181583.8,0.2,1.0,6837.0,8.830250570199247,410044.0,12.924022188755291,59.97425771537224,5,14600.0,9.588845298501564,2476272.0,14.722265165190025,6.0,412712.0,169.60767123287673,6.209445585215605,0.0,0.0,1.0,1.0,1.0,65.42,4.195998215948601,1830026.0,14.419841278807123,5.0,366005.2
Sweetwave,1,bajo,1,4,16,0,20,7.0,2.86,171.0,0.23529411764705882,143644.9,0.4,1.0,2934.0,7.984462732262196,29558.0,10.294143544990584,10.074301295160192,0,23100.0,10.047631185616188,89710.0,11.404348671520518,21.0,4271.9047619047615,3.8835497835497836,12.2984257357974,,,,,,0.0,0.0,21540.0,9.977713374888099,5.0,4308.0
LEÏTI,2,medio,2,3,7,0,10,6.0,1.67,116.0,0.375,197897.0,0.2,0.6,23698.0,10.0731881321402,891450.0,13.700605751230194,37.61709848932399,3,62600.0,11.044536531401494,26903672.0,17.107773378001884,53.0,507616.4528301887,429.7711182108626,7.011635865845311,,,3.0,10.0,0.8,4.38,1.682688374173693,291457.0,12.582651192059066,5.0,58291.4
C.EME,1,bajo,1,0,7,0,7,2.0,3.5,59.0,0.0,131041.6,0.0,0.0,2102.0,7.6511201757027,18953.0,9.84977027003014,9.016650808753568,0,10200.0,9.23024103368252,110838.0,11.615833976922502,38.0,2916.7894736842104,10.866470588235295,9.716632443531827,,,,,,1.89,1.0612565021243408,5602.0,8.631057447565285,5.0,1120.4
Xico Palma,1,bajo,1,0,5,0,5,2.0,2.5,76.0,0.0,160823.3,0.6,0.2,484.0,6.184148890937483,4260.0,8.357259153499912,8.801652892561984,0,,,,,,,,,,,,,,1.89,1.0612565021243408,,,,
Biberon,1,bajo,1,4,2,0,6,2.0,3.0,101.0,1.3333333333333333,125483.5,1.0,1.0,3040.0,8.019941687677365,239545.0,12.386500744196486,78.79769736842105,0,1620.0,7.390798521735676,30176718.0,17.222581291013757,88.0,342917.25,18627.603703703702,9.952087611225188,,,,,,84.34,4.446643277759854,5345.0,8.584103896698863,5.0,1069.0
L'haine,2,medio,2,4,6,0,10,7.0,1.43,39.0,0.5714285714285714,187602.7142857143,0.2857142857142857,0.8571428571428571,26890.0,10.199546937117361,1536779.0,14.24519987629662,57.15057642246188,4,15600.0,9.65509029374725,6513882.0,15.689446303342917,76.0,85708.97368421052,417.5565384615385,8.531143052703628,,,,,,6.23,1.9782390361706734,147689.0,11.902870761420356,5.0,29537.8
Juicy BAE,2,medio,2,4,6,0,10,6.0,1.67,325.0,0.5714285714285714,182119.5,0.75,0.75,36773.0,10.512546352713787,1869377.0,14.441116313179505,50.8355858918228,5,79500.0,11.283524879179666,31724294.0,17.272593349095587,45.0,704984.3111111111,399.04772327044026,9.070499657768652,,,,,,32.21,3.5028510353886553,2940580.0,14.894117738838412,5.0,588116.0
ANMI,1,bajo,1,0,10,0,10,2.0,5.0,80.0,0.0,190717.77777777778,0.4444444444444444,1.0,2828.0,7.947678571301568,25041.0,10.128309694228893,8.854667609618105,0,2090.0,7.645397699428633,297975.0,12.604768225331519,9.0,33108.333333333336,142.57177033492823,11.019849418206707,,,,,,4.85,1.766441661243765,157520.0,11.96731406169306,5.0,31504.0
Zakyo,1,bajo,1,1,9,0,10,4.0,2.5,52.0,0.1,177314.75,0.125,0.875,3571.0,8.18088094199639,62129.0,11.03698424305774,17.398207784934193,0,4760.0,8.46821300919452,879382.0,13.686975804179701,34.0,25864.176470588234,184.74411764705883,4.216290212183436,,,,,,2.04,1.1118575154181303,106.0,4.672828834461906,1.0,106.0
Galindo,1,bajo,1,1,6,0,7,4.0,1.75,54.0,0.14285714285714285,163526.0,1.0,0.5,3882.0,8.264363329731667,63454.0,11.058086272244264,16.3456980937661,0,5700.0,8.648396877031582,705259.0,13.466321808132735,28.0,25187.821428571428,123.72964912280702,9.623545516769337,,,,,,88.0,4.48863636973214,8741.0,9.07589427542326,5.0,1748.2
Bluu,1,bajo,1,4,10,0,14,3.0,4.67,150.0,0.36363636363636365,159452.8,0.8,1.0,4911.0,8.499436469826978,84656.0,11.34636307758596,17.238037059661984,0,761.0,6.635946555686647,110906.0,11.616447291274342,20.0,5545.3,145.73718791064388,4.20807665982204,,,,,,7.68,2.1610215286722587,11618.0,9.360396968182862,5.0,2323.6
Dirty Suc,2,medio,2,5,4,0,9,4.0,2.25,152.0,1.0,178298.33333333334,0.16666666666666666,1.0,8925.0,9.096723645189215,276028.0,12.528261211643331,30.92750700280112,5,15300.0,9.635673464721814,6970124.0,15.757143716578764,145.0,48069.82068965517,455.563660130719,6.1738535249828885,0.0,0.0,1.0,10.0,1.0,9.28,2.330200260027019,9402.0,9.148784066277077,5.0,1880.4
Mda,2,medio,2,9,1,0,10,5.0,2.0,39.0,4.5,162635.16666666666,0.16666666666666666,1.0,24800.0,10.118639253920785,3500000.0,15.068273812173887,141.1290322580645,6,21200.0,9.961803629358965,13525398.0,16.42007988318589,220.0,61479.08181818182,637.9904716981132,10.349075975359343,4.222222222222222,0.0,1.0,9.0,1.0,65.08,4.190866129212723,136306.0,11.822664973665956,5.0,27261.2
El Bugg,2,medio,2,3,7,0,10,3.0,3.33,54.0,0.375,193578.0,1.0,1.0,19140.0,9.859587910246109,707600.0,13.469635654494581,36.96969696969697,3,17100.0,9.746892220313054,12624576.0,16.3511560276139,89.0,141849.16853932585,738.2792982456141,8.41615331964408,0.0,0.0,1.0,7.0,1.0,9.64,2.3646204839134985,12600.0,9.441531454869693,5.0,2520.0
yyy891,1,bajo,1,2,21,0,23,4.0,5.75,60.0,0.09090909090909091,219123.1,0.6,1.0,14655.0,9.592605086913911,1089805.0,13.901510256713337,74.3640395769362,5,17300.0,9.758519582283522,6238682.0,15.646279660377493,30.0,207956.06666666668,360.61745664739885,6.12457221081451,0.0,0.0,1.0,1.0,1.0,9.57,2.3580197998821464,632815.0,13.357934979565998,5.0,126563.0
cybernene,1,bajo,1,0,10,0,10,2.0,5.0,53.0,0.0,197901.0,0.375,1.0,8853.0,9.088624613292087,237766.0,12.379046481531708,26.85711058398283,0,9910.0,9.201400530406708,2259251.0,14.63054434301334,20.0,112962.55,227.9768920282543,5.002053388090349,0.0,0.0,1.0,1.0,1.0,7.02,2.081938421878423,491291.0,13.104793934694223,5.0,98258.2
Israel B,2,medio,2,3,5,0,8,7.0,1.14,537.0,0.5,157161.5,1.0,1.0,45296.0,10.72099608411258,1098544.0,13.909497134919969,24.252560932532674,5,151000.0,11.92504173829169,92395468.0,18.34158849861303,87.0,1062016.8735632184,611.8905165562913,7.455167693360712,1.6153846153846154,0.0,1.0,13.0,1.0,25.38,3.2726061472891685,772037.0,13.556789050593439,5.0,154407.4
yung brandy,1,bajo,1,4,6,0,10,3.0,3.33,135.0,0.5714285714285714,157015.0,0.875,0.625,3651.0,8.20303024171486,137494.0,11.831342831791225,37.65927143248425,5,990.0,6.898714534329988,60084.0,11.0035155053454,8.0,7510.5,60.69090909090909,4.85968514715948,,,,,,3.55,1.5151272329628591,52887.0,10.875931749013414,5.0,10577.4
Aleesha,2,medio,2,1,9,0,10,6.0,1.67,87.0,0.1,206344.4,0.2,1.0,28546.0,10.259307130753884,372014.0,12.826689455022995,13.032088558817348,3,102000.0,11.532737896139919,26853353.0,17.105901287318886,48.0,559444.8541666666,263.2681666666667,8.799452429842573,0.0,0.0,1.0,7.0,1.0,5.17,1.8196988379172965,453983.0,13.025817234111711,5.0,90796.6
GREKKY,1,bajo,1,0,8,0,8,2.0,4.0,150.0,0.0,145887.0,0.4444444444444444,0.5555555555555556,9515.0,9.160729871422848,90195.0,11.409740359169403,9.479243300052548,0,,,,,,,,,,,,,,0.0,0.0,,,,
BEJO,2,medio,2,5,3,0,8,9.0,0.89,187.0,1.25,212500.5,0.75,1.0,41002.0,10.621400513741305,1286814.0,14.067680731102195,31.38417638163992,5,395000.0,12.886643575525625,469.0,6.152732694704104,3.0,156.33333333333334,0.0011873417721518988,0.12867898699520877,0.4444444444444444,0.0,3.0,27.0,0.9259259259259259,52.42,3.9781852076818147,599688.0,13.304166466483789,5.0,119937.6
Choclock,3,alto,3,4,6,0,10,9.0,1.11,185.0,0.5714285714285714,198544.8,1.0,1.0,25876.0,10.16110982226658,685935.0,13.438539607895182,26.508540732725304,2,41900.0,10.643064971973882,54906.0,10.913396123923341,6.0,9151.0,1.3104057279236276,0.9336071184120466,0.0,0.0,2.0,3.0,0.6666666666666666,3.62,1.5303947050936475,29032.0,10.276188393050319,5.0,5806.4
WEST DUBAI,2,medio,2,2,18,0,20,8.0,2.5,52.0,0.10526315789473684,181506.9,0.7,1.0,6038.0,8.705993714307901,53488.0,10.887231304267347,8.858562437893342,0,124000.0,11.728044909070785,26754305.0,17.10220599031431,44.0,608052.3863636364,215.76052419354838,13.084188911704311,,,,,,22.32,3.1493113614822916,128217.0,11.761487219228986,5.0,25643.4
West Srk,1,bajo,1,0,10,0,10,4.0,2.5,117.0,0.0,164452.6,0.0,0.5,4911.0,8.499436469826978,60952.0,11.017858354370803,12.411321523111383,0,1840.0,7.518064181233078,108010.0,11.58998835277166,10.0,10801.0,58.70108695652174,10.60643394934976,,,,,,0.0,0.0,28980.0,10.274395721835582,5.0,5796.0
Kinder Malo,1,bajo,1,2,28,0,30,11.0,2.73,585.0,0.06896551724137931,224871.1,0.3,0.9,42069.0,10.647090176584566,1122148.0,13.930756154821804,26.673987972141006,5,57700.0,10.96302978336854,474152.0,13.069285333403531,5.0,94830.4,8.217538994800693,8.503764544832306,0.0,0.0,4.0,7.0,0.42857142857142855,10.43,2.4362414778067194,476970.0,13.075210971376585,5.0,95394.0
