nombre_buscado,tier_inferido,venue_mayor,tier_sala,notas
Claudio Montana,,,1.0,
pablopablo,4.0,Recinto de Festivales de Benicàssim,1.0,
TRISTÁN!,,,1.0,
Stereo Madness,,,1.0,
Rebe,,,1.0,
Guitarricadelafuente,4.0,Recinto de Festivales de Benicàssim,1.0,
Swiper,,,1.0,
Lil Supa,3.0,Teatro Caupolicán,1.0,
Yassir,,,1.0,
David Marley,,,2.0,
Love Yi,,,1.0,
Sami Deluxe,,,1.0,
Semon,,,1.0,
La Musa,,,1.0,
Main Costa,,,1.0,
Sami Duque,,,1.0,
Papi Trujillo,,,1.0,
BEA PELEA,3.0,Industrial Copera,1.0,
Pepe y Vizio,,,2.0,
ACRU,4.0,C Complejo Art Media,1.0,
ToteKing,4.0,Hipódromo de San Sebastián,2.0,
Foyone,4.0,Playa El Arenal,2.0,
Sceno,,,1.0,
Kase.O,4.0,Navarra Arena,2.0,
Marko Italia,,,1.0,
Akapellah,4.0,Movistar Arena,1.0,
Hard GZ,4.0,Movistar Arena,3.0,
Teo Lucadamo,2.0,Sala X,1.0,
Jesse Baez,4.0,Estadio GNP Seguros,1.0,
Vreno Yg,,,1.0,
Zell,4.0,C Complejo Art Media,1.0,
