nombre_canonico,spotify_id,spotify_nombre,spotify_score,lastfm_nombre,lastfm_mbid,lastfm_score,yt_channel_id,yt_nombre_canal,yt_score,sl_nombre,sl_mbid,sl_score,manual_override,notas
Faenna,2iLGzMc00PRgD5qP07bP2b,Faenna,1.0,FAENNA,,1.0,UCGHCZm8Ays0lNnxY5p_a5Mg,Faenna,1.0,Faenna,0d85f77b-903d-416c-baaf-90227eeef204,1.0,True,
Metrika,51WwqSqhXeyz3q9Q105Kjy,Metrika,1.0,Metrika,e5acc911-6e2d-4c0e-9e32-49341b06179d,1.0,UCjMFyLJPKmGE4N0FHKg-nbw,Metrika,1.0,Metrika,e5acc911-6e2d-4c0e-9e32-49341b06179d,1.0,True,
GlorySixVain,79lATyc2ODajhNfsqcNnzw,GlorySixVain,1.0,GlorySixVain,c8d3f79b-5d4a-4d17-b554-cf38cc2b5a22,1.0,UCDLZZ_S0drR0iq5Ri8T00_g,Glory Six Vain,0.92,GlorySixVain,c8d3f79b-5d4a-4d17-b554-cf38cc2b5a22,1.0,True,
Oddliquor,1rmlkMXVf5f6ilIVhjow34,ODDLIQUOR,1.0,ODDLIQUOR,1a2692c8-af9a-4fac-85e8-de24a0c1f642,1.0,UC3u6GC53mU-G3dkLkeC0AMg,ODDLIQUORVEVO,1.0,Oddliquor,1a2692c8-af9a-4fac-85e8-de24a0c1f642,1.0,True,
Lil Mess,6eUMkeHdqGrQWPBCxGP297,Lil Mess,1.0,LIL MESS,,1.0,UC5rYIIuCFxREBF0accxr2Yg,Lil Mess,1.0,Lil Mess,aa8081e9-1dea-47d5-aedc-d099a9983649,1.0,True,
Rojuu,04mTej6RpWzBxGwhfThpIi,Rojuu,1.0,Rojuu,f3818712-f405-4b42-bd6f-02de7b9d9f4a,1.0,UC5c0hKxusjfse2J_SRRnkhQ,Rojuu,1.0,Rojuu,f3818712-f405-4b42-bd6f-02de7b9d9f4a,1.0,True,
Barry B,1jRwxa8eTgXDOhOlbRFFFy,Barry B,1.0,Barry B,0e632801-82c0-477e-9b5e-651079594e1d,1.0,UCTWrPxNamfTqjafyXeLBmTQ,Barry B,1.0,Barry B,0e632801-82c0-477e-9b5e-651079594e1d,1.0,True,
Alizzz,23herDudxPBB3S81GB5uG3,Alizzz,1.0,Alizzz,a4238edc-daf9-42ed-917b-dd586f91c269,1.0,UCFjf0SpyVF7-sdRccixkYng,Alizzz,1.0,Alizzz,a4238edc-daf9-42ed-917b-dd586f91c269,1.0,True,
Gese Da O,5m5mdpE5ZDrHVKjvdc0AZQ,Gese Da O,1.0,Gese Da O,,1.0,UC1HFpKbU3HrHDbLNHlKyZ4A,Gese Da O,1.0,,,,True,
Ergo Pro,6RGXMZ5gUtYKHpG3RQ9fM4,Ergo Pro,1.0,Ergo Pro,1bc85d88-9135-401e-ae0c-0dc8c18e39db,1.0,UCgQ2KJmgAhUqolmPVzFsooA,Ill Pekenyo Ergo Pro,1.0,Ergo Pro,1bc85d88-9135-401e-ae0c-0dc8c18e39db,1.0,True,canal compartido con Ill Pekeno
Ill Pekeño,3T4KspU3H8Ya6sgxexg9F8,Ill Pekeño,1.0,ILL PEKEÑO,,1.0,UCgQ2KJmgAhUqolmPVzFsooA,Ill Pekenyo Ergo Pro,1.0,Ill Pekeño,a5600a9a-cea0-4168-afdb-fd56dfbfeda2,1.0,True,canal compartido con Ergo Pro
Hoke,2x6kZekpNZMll7Uq3M6ar5,Hoke,1.0,Hoke,2135abf5-6191-48f3-adf8-d5cdf42e4629,1.0,UCng9LRN8S9tMAFmACxsY8kg,HOKE,1.0,Hoke,2135abf5-6191-48f3-adf8-d5cdf42e4629,1.0,True,
Sara Socas,3mJRY2eQ5S0cCsZla7vy0d,Sara Socas,1.0,Sara Socas,3498fb37-8c44-453f-b6ae-b389e23e5f76,1.0,UC9SQmIV59RjSc96m9nAozQw,Sara Socas,1.0,Sara Socas,3498fb37-8c44-453f-b6ae-b389e23e5f76,1.0,True,
Mvros,7Hq2bkukC2suXG1mB287BW,Mvros,1.0,Mvros,,1.0,UCQh-hW2oOFuDRIxk8FlNN4w,Mvros,1.0,Mvros,89584709-fad3-4fe8-93fa-9ac79f452568,1.0,True,
MARCE,5fBsGbmh5tJ3kU7FhVnYbh,MARCE,1.0,Marce,d76b21a8-749d-46bf-a9af-2cd1d0ab8a13,1.0,UCd7i8fpec8ahCqhm9QYT0YA,Marce,1.0,,,,True,
Dlomalo,2PUiO6Pd4s3mEGgXkOBR4c,Dlomalo,1.0,Dlomalo,,1.0,UCUHHCceXIAYzhC_gfFXkT2A,Dlomalo,1.0,,,,True,
Chiche Nieto,12P01XO7BKDX1o7waqQElR,Chiche Nieto,1.0,Chiche nieto,,1.0,UCSm1iIK40-awi5aXK5M1Hxw,Chiche Nieto,1.0,,,,True,
KG970,6m735GSES3duQtLrgqoGUb,KG970,1.0,kg970,,1.0,UCJDvxqHLGiTDMZjlXC0lznA,KG970,1.0,KG970,d7f7ab6f-17e3-4f24-b25d-b87bccd2925a,1.0,True,
Samuel SLZR,5jxnZJCpTkZJSxyRzbVhGx,Samuel SLZR,1.0,Samuel SLZR,,1.0,UCLnuheyT4gUGCFgoPD4Osng,Samuel SLZR,1.0,Samuel SLZR,dfe3adda-2e43-4b12-9c65-d9359e25ae7d,1.0,True,
John Pollõn,4fJie9zmEW6VmFoQKrx4Lh,John Pollõn,1.0,John Pollõn,,1.0,UCubce_wkXtTBszxBPoDYb6Q,John Pollon - Topic,0.73,,,,True,
Shoda Monkas,3K3u27hhXRoHojEeDHXLAe,Shoda Monkas,1.0,Shoda Monkas,8b9e5a0c-a1af-4699-a635-82825b3f7d03,1.0,UCzApM_xBbRuemr7p_I0id7A,Shoda Monkas,1.0,Shoda Monkas,8b9e5a0c-a1af-4699-a635-82825b3f7d03,1.0,True,
