nombre_canonico,spotify_id,spotify_nombre,spotify_score,lastfm_nombre,lastfm_mbid,lastfm_score,yt_channel_id,yt_nombre_canal,yt_score,sl_nombre,sl_mbid,sl_score,manual_override,notas
Kristina,07Z7bvJe6gxi40UxVpuEL1,Kristina,1.0,Kristina,302d21c0-1ed4-40b1-901b-06e5891fa135,1.0,UCjQfS9oqZSyWbP9JsR4syXQ,KRISTINA,1.0,Kristina,302d21c0-1ed4-40b1-901b-06e5891fa135,1.0,True,
l0rna,2kFBKRwutklbaGSKBpc6TS,l0rna,1.0,l0rna,c13c8288-3f23-4d8b-97dc-f87c0d4ba02d,1.0,UCVs-FK9rdSmEmqlY9j7h3cA,l0rna,1.0,l0rna,c13c8288-3f23-4d8b-97dc-f87c0d4ba02d,1.0,True,
Quevedo,52iwsT98xCoGgiGntTiR7K,Quevedo,1.0,Quevedo,ef9bb29f-f466-4e28-8064-32558f4bb2df,1.0,UCYEmGiiM21tGuCEtDJTfP1w,Quevedo,1.0,Quevedo,ef9bb29f-f466-4e28-8064-32558f4bb2df,1.0,True,
D.Valentino,01WzyfcDKX94myMXnGfU4N,D.Valentino,1.0,D.Valentino,7e3edb70-7100-4cbe-be03-862f837f55e6,1.0,UCrmBzskI-Kl8PT78PfvkF8g,D.Valentino,1.0,D.Valentino,7e3edb70-7100-4cbe-be03-862f837f55e6,1.0,True,
Ralphie Choo,5qjnPRE33rMgYAxIjGUrI7,Ralphie Choo,1.0,Ralphie Choo,ec80bc0a-c081-40bf-b65c-472651a40783,1.0,UCn4YHds7afJ5MwmNqUC5D3w,Ralphie Choo,1.0,Ralphie Choo,ec80bc0a-c081-40bf-b65c-472651a40783,1.0,True,
AKRIILA,39hfuTf4PHfnHgIl0QBDGL,AKRIILA,1.0,AKRIILA,76352165-2b13-450d-9228-0912096fbdb5,1.0,UCydE-HrppgrN0raOH93KNxQ,AKRIILA,1.0,AKRIILA,76352165-2b13-450d-9228-0912096fbdb5,1.0,True,
rusowsky,1XEVu7gdRFfzEFqsPrancH,rusowsky,1.0,Rusowsky,d836bdef-52ef-4142-baba-573e5b529478,1.0,UCUWsoFzN8u06K5NJ7E2d91g,rusowsky,1.0,rusowsky,d836bdef-52ef-4142-baba-573e5b529478,1.0,True,
Maka,4lHAjTCvXGu8QIM3cEe93m,Maka,1.0,maka,,1.0,UCb5E8Bi22nyYrDXc7pos-wA,Maka,1.0,,,,True,
RVFV,2CCgb0KApjfQDuTppovpf8,Rvfv,1.0,Rvfv,e9adfa88-6767-4cb6-b07f-d4df5452d3b7,1.0,UClIUG4FjlugqTUjHSLC-zeA,RVFV,1.0,RVFV,e9adfa88-6767-4cb6-b07f-d4df5452d3b7,1.0,True,
Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,Don Patricio,1.0,Don Patricio,e546fbc2-b7b6-4427-a0be-25cfb6c87e93,1.0,UC8dZA7RaDgayIsnV8uHLjng,Don Patricio,1.0,Don Patricio,e546fbc2-b7b6-4427-a0be-25cfb6c87e93,1.0,True,
Nyno Vargas,2dkbKcHXhN7ooFBdqAV76G,Nyno Vargas,1.0,Nyno Vargas,103ce457-ab3a-4516-8b41-0f15eac968bc,1.0,UCC1wcYyx5vHHVuCFE1sYazA,Nyno Vargas Oficial,1.0,Nyno Vargas,103ce457-ab3a-4516-8b41-0f15eac968bc,1.0,True,
sen senra,5lWasZeo8uWQk6GD8czJLq,Sen Senra,1.0,Sen Senra,14e3ab81-da70-4cb7-b73e-c50aeee3fa46,1.0,UCeekSA3d_VPOjLbtw-i5AnA,sen senra,1.0,sen senra,14e3ab81-da70-4cb7-b73e-c50aeee3fa46,1.0,True,
Natalia Lacunza,3Zs59sqZJ6fWQqWbRC8bOP,Natalia Lacunza,1.0,Natalia Lacunza,3e3a67ad-cc26-4edf-8925-12bdbc571486,1.0,UCVc6odiObHjRsjUCn0bf9xA,Natalia Lacunza,1.0,Natalia Lacunza,3e3a67ad-cc26-4edf-8925-12bdbc571486,1.0,True,
Lia Kali,7rFHoDuiSlV0DGHxckjm89,Lia Kali,1.0,Lia Kali,eb6035f6-b42b-4a4a-8615-e352f6c96fc6,1.0,UCLm4quIATL4JwQlM67mdoIQ,Lia Kali,1.0,Lia Kali,eb6035f6-b42b-4a4a-8615-e352f6c96fc6,1.0,True,
Bb trickz,5QS9NAK4AgJPTcRe472pZA,Bb trickz,1.0,Bb trickz,,1.0,UCT_i18M2tCNkaZ1mbqLc8XQ,Bb trickz,1.0,,,,True,
Soge Culebra,2SNfNJDsahTSVFwgxposF5,Soge Culebra,1.0,Soge Culebra,ba20c61a-fa32-4bf9-89a2-bee23c0d9a9b,1.0,UCPF00Bu1GWyj99XJwpDst-A,Soge Culebra,1.0,Soge Culebra,ba20c61a-fa32-4bf9-89a2-bee23c0d9a9b,1.0,True,
Diego 900,6PMkeaQ3DLnaBuhjfmSefK,Diego 900,1.0,Diego 900,f49ebaee-a202-459a-be8c-8f9cdab4f347,1.0,UCEYaPSMxqEUCZ_lX0n4pyZQ,Diego 900,1.0,Diego 900,f49ebaee-a202-459a-be8c-8f9cdab4f347,1.0,True,
Judeline,1H6X7yhnXZg73f9bssaj1Q,Judeline,1.0,Judeline,,1.0,UCivaiE8RNombvmGOrcF1YBA,Judeline,1.0,Judeline,b828d419-2928-4286-9509-5d920d524358,1.0,True,
JC REYES,0FwnPHExlRRxEZPLAi5tmG,JC Reyes,1.0,JC Reyes,76325ce0-5871-4176-a2bd-c19875ded9ea,1.0,UCca7FqUEssNMZueJT8Jn4KA,JC REYES,1.0,JC REYES,76325ce0-5871-4176-a2bd-c19875ded9ea,1.0,True,
FERNANDOCOSTA,5dC7EcwWdf9Qj4VvJab4rZ,FERNANDOCOSTA,1.0,FERNANDOCOSTA,7af2ae9c-fb88-45e0-8ce4-e5d902a688f4,1.0,UC8rd9GtkTHNk6aj617cP9wQ,FERNANDOCOSTA,1.0,FERNANDOCOSTA,7af2ae9c-fb88-45e0-8ce4-e5d902a688f4,1.0,True,
AMORE,2JfbhY0uEDLi1d89RzdU9S,AMORE,1.0,Amore,45b6cf1f-325b-4ebc-8948-0e72d48f2e5c,1.0,UCn0PWrjyia_yYVNXrzJtbng,AMORE,1.0,AMORE,45b6cf1f-325b-4ebc-8948-0e72d48f2e5c,1.0,True,
Mushkaa,3jU5LKRsimuyZjA0lSkdPp,Mushkaa,1.0,Mushkaa,931b0693-edd6-4ec2-90aa-df602c3aa95b,1.0,UC9Jl8Rcjs5ZUi8Wf1JnFzlw,Mushkaa,1.0,Mushkaa,931b0693-edd6-4ec2-90aa-df602c3aa95b,1.0,True,
Aissa,6RWMnZmXs8Ob715qLr4374,Aissa,1.0,Aissa,8edffc17-19b9-4d40-9559-f0b27b83c8f7,1.0,UCxcdeROhhi_7T4pW1ZtOvUA,Aissa - Topic,0.8,Aissa,8edffc17-19b9-4d40-9559-f0b27b83c8f7,1.0,True,
Juseph,5kgDdP7a4TsvkF08gpJGX0,Juseph,1.0,Juseph,56ce1606-d44d-41a6-81f2-cbf35a6982a1,1.0,UCCoWuI8pJ8jmuYE_0TzrbGg,Juseph,1.0,Juseph,56ce1606-d44d-41a6-81f2-cbf35a6982a1,1.0,True,
Ptazeta,5UN0rzL594mWY2RbOtZqIN,Ptazeta,1.0,Ptazeta,91b214df-43b3-4910-a76e-29c9a51d4c95,1.0,UCuEnnw70c_29Wh_jLIw6nyg,PtaZeta,1.0,Ptazeta,91b214df-43b3-4910-a76e-29c9a51d4c95,1.0,True,
GRECAS,3DhrvmXFJs6QKCSafoPhl4,GRECAS,1.0,Grecas,,1.0,UC4Jcz86Ijb5f03ob5I1Ul4A,GRECAS,1.0,GRECAS,9af58c45-1d4b-4fdf-bb43-8802c2e23c32,1.0,True,
Sosad,7Dhtrm0gyXdmDvvc5zAh4w,Sosad,1.0,SoSAD,,1.0,UC4fBIo2OZ1KZYQFw3ljurVg,SOSAD,1.0,Sosad,4111851f-884b-4df5-a816-6785a3403468,1.0,True,
SAM DAVIES,5IwsimGimVvw3Xb1YKGs0r,SAM DAVIES,1.0,Sam Davies,4589254b-bee8-4c9f-a7e8-234ff7456d0b,1.0,UCOJvsk5XXPEV-z7fFbFHsNA,SAM DAVIES,1.0,SAM DAVIES,4589254b-bee8-4c9f-a7e8-234ff7456d0b,1.0,True,
El Virtual,1M6Haz9vxliXQXeVO49CSY,El Virtual,1.0,El Virtual,abeae4d0-9c33-4974-bbc6-3e9264c339fc,1.0,UCjB-SW4eqL-7O1KOCIdselA,EL VIRTUAL,1.0,El Virtual,abeae4d0-9c33-4974-bbc6-3e9264c339fc,1.0,True,
ARON,79ehGac6casNGvc5n8XL7J,Aron,1.0,Aron,611f148d-4c9f-46d8-ba1f-0e6c7528e7fa,1.0,UCbBGz1-LLAuYiBgronuNBGg,ARON,1.0,ARON,611f148d-4c9f-46d8-ba1f-0e6c7528e7fa,1.0,True,
Kaydy Cain,4nXXIxTneJksvGXrlmX8oA,Kaydy Cain,1.0,Kaydy Cain,7e2012a4-2752-46c1-90b8-f48f3fa43412,1.0,UCeAMTmQ4GFl7ccgESz_97gg,Kaydy Cain,1.0,Kaydy Cain,7e2012a4-2752-46c1-90b8-f48f3fa43412,1.0,True,
La Plazuela,3iNrNJ38T7OEaI1UofQcIB,La Plazuela,1.0,La Plazuela,abfb6d3b-2fd2-4617-af1a-54b9cd6e6f2d,1.0,UC2qsuEayYjBwD-LsZTaB_yA,La Plazuela,1.0,La Plazuela,abfb6d3b-2fd2-4617-af1a-54b9cd6e6f2d,1.0,True,
Cupido,4dLhakqpeWIymuJnoGTUfB,Cupido,1.0,Cupido,28d7f98a-63ae-4ada-b10f-59974e996ae4,1.0,UCZnSO0A1ksSG-sSNowPtv4A,Cupido,1.0,Cupido,28d7f98a-63ae-4ada-b10f-59974e996ae4,1.0,True,
Claudio Montana,3Ecw2aaAQ3rqO3bH9pcN7d,Claudio Montana,1.0,Claudio Montana,9f102bd4-967d-461b-9a73-03f8bca34250,1.0,UCz9T8rW0B-jxChhfYjA3rAA,Claudio Montana,1.0,Claudio Montana,9f102bd4-967d-461b-9a73-03f8bca34250,1.0,True,
pablopablo,4jbtfb5mOGveUu9bTYIvEZ,pablopablo,1.0,pablopablo,d9bb3fef-be1a-47a1-be23-d3405d04d9e6,1.0,UCOBr5ohGs4wNynNORIHQFzg,pablopablo,1.0,pablopablo,d9bb3fef-be1a-47a1-be23-d3405d04d9e6,1.0,True,
TRISTÁN!,4XWTmdheb3gjg0P3tNQwT0,TRISTÁN!,1.0,TRISTÁN!,,1.0,UCyNjFBSlte3MY1OX9flbM_g,TRISTÁN!,1.0,,,,True,
Stereo Madness,41D48OxfIIiKSQJNNr14Jv,Stereo Madness,1.0,Stereo Madness,,1.0,UCSGqXKmD2c7xsc9a1bYTN9A,Stereo Madness,1.0,Stereo Madness,ee478d54-3a81-4860-b4fb-4bec8c3fd5b3,1.0,True,
Rebe,09JzopXDnVeP5YvaNh7VhF,Rebe,1.0,Rebe,064e5848-8385-4e85-b2ee-170ad1c8e393,1.0,UCQNoDwhFKB6QZ1ipfhUjFBg,rebe,1.0,Rebe,064e5848-8385-4e85-b2ee-170ad1c8e393,1.0,True,
Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Guitarricadelafuente,1.0,Guitarricadelafuente,68416724-6cc4-41ee-b81c-1ce169c00f03,1.0,UC2twHSJB8iEtjM0DG9HNCUw,Guitarricadelafuente,1.0,Guitarricadelafuente,68416724-6cc4-41ee-b81c-1ce169c00f03,1.0,True,
